timestamp (seconds since 01/01/1970), system, entity , value (rad), off (°)
1709815831.933563, caravela-2, 7, -0.01545702, 0.000000
1709815832.933735, caravela-2, 7, -0.01545702, 0.000000
1709815833.983688, caravela-2, 7, -0.01545702, 0.000000
1709815834.983714, caravela-2, 7, -0.01545702, 0.000000
1709815835.984004, caravela-2, 7, -0.01545702, 0.000000
1709815837.033408, caravela-2, 7, -0.01545702, 0.000000
1709815838.033440, caravela-2, 7, -0.01545702, 0.000000
1709815839.033539, caravela-2, 7, -0.01545702, 0.000000
1709815840.036087, caravela-2, 7, -0.01544596, 0.000000
1709815841.083544, caravela-2, 7, -0.01544596, 0.000000
1709815842.084180, caravela-2, 7, -0.01544693, 0.000000
1709815843.133735, caravela-2, 7, -0.01544244, 0.000000
1709815844.183299, caravela-2, 7, -0.01544649, 0.000000
1709815845.183510, caravela-2, 7, -0.01544611, 0.000000
1709815846.183713, caravela-2, 7, -0.0154455, 0.000000
1709815847.233639, caravela-2, 7, -0.01545059, 0.000000
1709815848.283833, caravela-2, 7, -0.01546265, 0.000000
1709815849.284537, caravela-2, 7, -0.0154629, 0.000000
1709815850.333309, caravela-2, 7, -0.01546606, 0.000000
1709815851.334171, caravela-2, 7, -0.01547124, 0.000000
1709815852.384127, caravela-2, 7, -0.01546233, 0.000000
1709815853.434260, caravela-2, 7, -0.0154679, 0.000000
1709815854.483787, caravela-2, 7, -0.01545116, 0.000000
1709815855.535350, caravela-2, 7, -0.01544353, 0.000000
1709815856.583720, caravela-2, 7, -0.01544151, 0.000000
1709815857.633508, caravela-2, 7, -0.01544465, 0.000000
1709815858.633620, caravela-2, 7, -0.01542963, 0.000000
1709815859.633985, caravela-2, 7, -0.01545991, 0.000000
1709815860.634200, caravela-2, 7, -0.01545337, 0.000000
1709815861.683310, caravela-2, 7, -0.01544816, 0.000000
1709815862.683703, caravela-2, 7, -0.01544691, 0.000000
1709815863.684423, caravela-2, 7, -0.01544524, 0.000000
1709815864.733590, caravela-2, 7, -0.01545565, 0.000000
1709815865.733863, caravela-2, 7, -0.01544462, 0.000000
1709815866.735238, caravela-2, 7, -0.01543219, 0.000000
1709815867.784010, caravela-2, 7, -0.01541917, 0.000000
1709815868.834360, caravela-2, 7, -0.01542225, 0.000000
1709815869.884052, caravela-2, 7, -0.01542193, 0.000000
1709815870.884471, caravela-2, 7, -0.01539723, 0.000000
1709815871.933666, caravela-2, 7, -0.01538807, 0.000000
1709815872.936512, caravela-2, 7, -0.01536046, 0.000000
1709815873.983432, caravela-2, 7, -0.01532994, 0.000000
1709815874.983508, caravela-2, 7, -0.01538921, 0.000000
1709815876.034055, caravela-2, 7, -0.01533834, 0.000000
1709815877.034124, caravela-2, 7, -0.01533641, 0.000000
1709815878.034308, caravela-2, 7, -0.01533626, 0.000000
1709815879.035311, caravela-2, 7, -0.01535159, 0.000000
